schema,question,chosen
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2015?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2012?,SELECT project_name FROM projects WHERE start_year < 2012
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2015?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 5 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2007?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",How many projects started in 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2019?,SELECT project_name FROM projects WHERE start_year < 2019
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 248?,SELECT department_name FROM departments WHERE manager_id < 248
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2009?,SELECT project_name FROM projects WHERE start_year < 2009
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in IT?,"SELECT AVG(age) FROM employees WHERE department = ""IT"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have a manager with ID less than 285?,SELECT department_name FROM departments WHERE manager_id < 285
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2002?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 118?,SELECT department_name FROM departments WHERE manager_id < 118
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 276?,SELECT department_name FROM departments WHERE manager_id < 276
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 2 employees?,INVALID QUERY
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2017?,SELECT project_name FROM projects WHERE start_year < 2017
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2009?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2011?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have more than 12 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 284?,SELECT department_name FROM departments WHERE manager_id < 284
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2012?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in Sales?,"SELECT AVG(age) FROM employees WHERE department = ""Sales"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Who are the employees in the Marketing department?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",How many projects started in 2005?,SELECT project_name FROM projects WHERE start_year < 2005
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which departments have a manager with ID less than 222?,SELECT department_name FROM departments WHERE manager_id < 222
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have more than 16 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Who are the employees in the Sales department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What projects started before 2022?,SELECT project_name FROM projects WHERE start_year < 2022
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 8 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2019?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Friday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Friday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2004?,SELECT project_name FROM projects WHERE start_year < 2004
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Marketing?,"SELECT AVG(age) FROM employees WHERE department = ""Marketing"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2017?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2010?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2010?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2005?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2012?,SELECT project_name FROM projects WHERE start_year < 2012
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2011?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",How many projects started in 2005?,SELECT project_name FROM projects WHERE start_year < 2005
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Who are the employees in the Marketing department?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 4 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
